Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Syracuse Nationals,NBA,1949-50,1962-63,14,1013,576,437,0.569,14,3,0,1
Phoenix Suns,NBA,1968-69,2022-23,55,4421,2367,2054,0.535,31,8,3,0
Portland Trail Blazers,NBA,1970-71,2022-23,53,4256,2266,1990,0.532,37,6,3,1
Sacramento Kings,NBA/BAA,1948-49,2022-23,75,5898,2686,3212,0.455,29,5,0,1
Sacramento Kings,NBA,1985-86,2022-23,38,3023,1280,1743,0.423,10,2,0,0
Kansas City Kings,NBA,1975-76,1984-85,10,820,381,439,0.465,4,1,0,0
Kansas City-Omaha Kings,NBA,1972-73,1974-75,3,246,113,133,0.459,1,0,0,0
Cincinnati Royals,NBA,1957-58,1971-72,15,1189,555,634,0.467,7,0,0,0
Rochester Royals,NBA/BAA,1948-49,1956-57,9,620,357,263,0.576,7,2,0,1
San Antonio Spurs,NBA/ABA,1967-68,2022-23,56,4506,2653,1853,0.589,47,22,6,5
San Antonio Spurs,NBA,1976-77,2022-23,47,3762,2275,1487,0.605,39,22,6,5
San Antonio Spurs,ABA,1973-74,1975-76,3,252,146,106,0.579,3,0,0,0
Texas Chaparrals,ABA,1970-71,1970-71,1,84,30,54,0.357,1,0,0,0
Dallas Chaparrals,ABA,1967-68,1972-73,5,408,202,206,0.495,4,0,0,0
Toronto Raptors,NBA,1995-96,2022-23,28,2205,1058,1147,0.48,13,7,1,1
Utah Jazz,NBA,1974-75,2022-23,49,3928,2138,1790,0.544,31,11,2,0
Utah Jazz,NBA,1979-80,2022-23,44,3518,1977,1541,0.562,31,11,2,0
New Orleans Jazz,NBA,1974-75,1978-79,5,410,161,249,0.393,0,0,0,0
Washington Wizards,NBA,1961-62,2022-23,62,4981,2250,2731,0.452,30,8,4,1
Washington Wizards,NBA,1997-98,2022-23,26,2040,872,1168,0.427,9,1,0,0
Washington Bullets,NBA,1974-75,1996-97,23,1886,887,999,0.47,13,2,3,1
Capital Bullets,NBA,1973-74,1973-74,1,82,47,35,0.573,1,1,0,0
Baltimore Bullets,NBA,1963-64,1972-73,10,813,401,412,0.493,7,4,1,0
Chicago Zephyrs,NBA,1962-63,1962-63,1,80,25,55,0.313,0,0,0,0
Chicago Packers,NBA,1961-62,1961-62,1,80,18,62,0.225,0,0,0,0
